index,URL,Date,Event,Location,TYPE,Artist,ArtistID,ArtistPOP,TracksID,TracksPOP,Tracks
829,https://www.muffatwerk.de/de/events/view/6929/gran-noche-latina,2024-07-27 00:00:00,Gran Noche Latina,Muffatwerk All Area,konzert & party,['gran noche latina'],,,,,
830,https://www.muffatwerk.de/de/events/view/6822/devendra-banhart,2024-08-07 00:00:00,Devendra Banhart,Theaterfabrik,konzert,['devendra banhart'],[[['1YZEoYFXx4AxVv13OiOPvZ']]],[[[55]]],"[[['2CG6feguaKMR3C4zCMjDNR', '4r7iDEGdW2Gw9hJlCbi5qL', '17XvbAd3K1GOjWy5uQvK2U', '4MWAort85sV8gJoi4CMI5S', '0AFBTfI6zDUBLy0oi1pqZg', '2PKJ88Ap4ebLFxJ4lwAGRF', '6ITAFgQnorUyh0KnqmZ7h6', '6Yf2HCrWLUo8sgm7KuQagg', '5CAztXp7af5FZR9Gbnnwk2', '0gsH5Govmgwxa0rgaF9YbC']]]","[[[58, 57, 56, 56, 52, 51, 50, 49, 48, 48]]]","[[['17XvbAd3K1GOjWy5uQvK2U', '2CG6feguaKMR3C4zCMjDNR', '2PKJ88Ap4ebLFxJ4lwAGRF']]]"
831,https://backstage.eu/alkaline-trio-live-2024.html,2024-08-11 20:00:00,ALKALINE TRIO - Live 2024,BACKSTAGE WERK,konzert,['ALKALINE TRIO'],[[['1aEYCT7t18aM3VvM6y8oVR']]],[[[56]]],"[[['5SZA0lHcG0ucCGBqKK32tF', '3ybguBEEMkpKz07SBefKW3', '1vb6phGMBr133Y4bwKxrsT', '6dYtCV39bCt10NMfzgOdtA', '5552mB1SfLoZPP999vzyF4', '4UrkfJvLfSeWBzK4ag1aW8', '3VVstQ0fpj4pdSPe2QZT5z', '3pKd2WdIgHxw9ztbAjWUJ6', '7HiVHdZfH5zK9pNttg9yX2', '4U9wk2CJrzrh6rwqyYniV5']]]","[[[61, 55, 56, 53, 55, 55, 54, 53, 53, 42]]]","[[['3VVstQ0fpj4pdSPe2QZT5z', '3ybguBEEMkpKz07SBefKW3', '5SZA0lHcG0ucCGBqKK32tF']]]"
832,https://backstage.eu/less-than-jake-live-2024.html,2024-08-14 20:00:00,LESS THAN JAKE - Live 2024,BACKSTAGE HALLE,konzert,['LESS THAN JAKE'],[[['20oQv3LStCKCjI9oQ0JNha']]],[[[52]]],"[[['1hh4GY1zM7SUAyM3a2ziH5', '1iD0a0plhO55cWEJa5UGcZ', '6xOZCV4EPCupXwvqajSKzq', '3Sl62Dyoh3wI3gLIJSypnb', '2zPrdI7V4Pik4He87Nhdbl', '6hxxNvnPcPZFUqQxtjHMG7', '59DQjXLvUdvG6JVnGYhue7', '0pdTSwvSB5IGjeumcPIDa6', '3UY9t62ZMlvfPHoTMSq1uw', '3bEUz1Y168KAWC7Vb7e0yz']]]","[[[61, 56, 51, 51, 50, 50, 44, 46, 46, 44]]]","[[['0pdTSwvSB5IGjeumcPIDa6', '1hh4GY1zM7SUAyM3a2ziH5', '59DQjXLvUdvG6JVnGYhue7']]]"
833,https://backstage.eu/sleater-kinney-live-2024.html,2024-08-22 20:00:00,SLEATER-KINNEY - Live 2024,BACKSTAGE WERK,konzert,['SLEATER'],[[['4wLIbcoqmqI4WZHDiBxeCB']]],[[[48]]],"[[['2EgYIE84KYjf52Sw2WW4x4', '18BXVZ04Xm9eiSyFpD5PJE', '2GOQVqZ3uVp7LKVAY1T0mk', '0S6KgEZ6oHoJMEgggk5fbx', '2RNw5tEPBdJ2oT6Gp8Ws7M', '5o3ombwsKQAYnHyKa9Jbwg', '1YdCuoPvDDVyHa3YomPb1B', '1wf91DouhIDzyweoJpkB3F', '2yyTuHMp1LlvdA9PYquEBq', '477skswRsPZu6383JfCObM']]]","[[[48, 51, 50, 47, 45, 47, 46, 44, 44, 43]]]","[[['0S6KgEZ6oHoJMEgggk5fbx', '18BXVZ04Xm9eiSyFpD5PJE', '1YdCuoPvDDVyHa3YomPb1B']]]"
834,https://backstage.eu/knuckle-head-live-2024.html,2024-08-31 20:00:00,KNUCKLE HEAD - Live 2024,BACKSTAGE HALLE,konzert,['KNUCKLE HEAD'],[[['1LYQKVaI90cJfIaVu81EPX']]],[[[14]]],"[[['5ZPvtX8ZGFkn2ubUHPJAJY', '7FymO6hWZ02sle278Mthxf', '6cEVjhJvGCopsBLFOgyJb9', '1zAcgmYPEHVPCRa54wfMrb', '4oF5wRboxWwCOqzPqoz3Tv', '0jnuTckUTJM0oqxnxWsVl7', '125cwLuIE2fCZTuTeWRqjN', '6Oa1sM4r9WmSepUJAIamun', '1ixnfxsj1wvhHaU0AmaO6Q', '4U5VRrqdYQ3zggSe9JFLeF']]]","[[[22, 21, 16, 15, 14, 14, 13, 12, 12, 12]]]","[[['125cwLuIE2fCZTuTeWRqjN', '1zAcgmYPEHVPCRa54wfMrb', '5ZPvtX8ZGFkn2ubUHPJAJY']]]"
835,https://backstage.eu/stoneman-neu-tour-2024.html,2024-09-05 19:30:00,STONEMAN - Neu! - Tour 2024,BACKSTAGE CLUB,konzert,['STONEMAN'],[[['4UdeGyaC8XMy4ivRLlmhjJ']]],[[[38]]],"[[['1s40p2oGe2YiI8ZYkxOaGN', '66ewjlujkErIymXOygxeZa', '4VCAEoyrEnb2M5lKPjjQmx', '5yTfHOUXbhDKrZd17i9Sqe', '5LwCc50J04pdeYajiKv9SQ', '447GL6oHLmsZjhXU12TKbq', '1YpvfZvWjaOXwYzP59ZrFJ', '4Jbh1TRcO1fuxJH08ARAwc', '2VMjQfdupYN2lSFSq9TUbV', '3XpOswIgzwsk7lOXR8WBbW']]]","[[[47, 43, 43, 42, 40, 38, 37, 33, 33, 33]]]","[[['1s40p2oGe2YiI8ZYkxOaGN', '3XpOswIgzwsk7lOXR8WBbW', '4Jbh1TRcO1fuxJH08ARAwc']]]"
836,https://www.muffatwerk.de/de/events/view/6922/einstuerzende-neubauten,2024-09-06 00:00:00,Einstürzende Neubauten,Muffathalle,konzert,['einstürzende neubauten'],[[['7KomCxZv6D5qCVvefwMnwB']]],[[[37]]],"[[['4AIDG8oQzGYqnr6v01f8i5', '75XGz4ZeNIzetvjxcMn3EJ', '4TBWpsp2jMxKmJW92GFwF0', '7dvMhgZE2pOE7nqjhS12MY', '6FnHXFxsQGNKODfpDo8EeV', '2o1D3jWQdJZG8T2VFWOeAZ', '41VTcYnDrvfQq4nctWCHVH', '048lsEvAt0yhLp6wmUvImI', '233QxgVD2rS5BIFIrfAseO', '56L8wi33wMjF5lRkoOYWMx']]]","[[[42, 41, 36, 36, 36, 35, 32, 32, 31, 29]]]","[[['2o1D3jWQdJZG8T2VFWOeAZ', '4AIDG8oQzGYqnr6v01f8i5', '75XGz4ZeNIzetvjxcMn3EJ']]]"
837,https://backstage.eu/eddin-du-fehlst-tour-2024.html,2024-09-06 20:00:00,EDDIN - „DU FEHLST TOUR 2024“ | Verlegt auf den 06.09.24,BACKSTAGE WERK,konzert,['EDDIN'],[[['2Diqn1jFkehRd9MVDGKGdq']]],[[[58]]],"[[['4HkRGYJYn1Y99uXpqTyOI6', '1DacloJQjrHYqJfzwBxwn0', '3OBTxLYXzQalSQbDv4qpGC', '6KKEjDiimNHEHRixna4Dtt', '5TtleMfzmuJjjd3iVG07XH', '1pzy5BzAWUIzD3En1TSLZd', '47CHYHIwkvzRRCUzmPioqC', '7FKrDATk0wVqftb958qLrt', '4baGMkCWAgUKKUDuiaqWr4', '3GQ3SjU2O5yXzILwdrwZdM']]]","[[[71, 55, 60, 58, 56, 55, 55, 52, 51, 45]]]","[[['3GQ3SjU2O5yXzILwdrwZdM', '3OBTxLYXzQalSQbDv4qpGC', '4HkRGYJYn1Y99uXpqTyOI6']]]"
838,https://backstage.eu/alienare-lumen-tour-2024.html,2024-09-07 20:00:00,ALIENARE - Lumen Tour 2024,BACKSTAGE CLUB,konzert,['ALIENARE'],[[['3rW7zCjc6RANaCbXV08zdy']]],[[[18]]],"[[['0dOA9ZYjZFuyZVjhmMzJfD', '3XeGn74v7sTCOSzOTzIoBb', '7eeCD7b9AgcAU1glEGdCxr', '3n5ZXhBrdHdewpZNHFcCxm', '0T9m66LcZTLtIggcJyfdO1', '4I5eJXNiDWK7M6SNL0Xiv8', '0NLv3QLJ9aoqhMM5uPKvJv', '64q9otWlqvvGnrmNYMGEWC', '5MMvvfA1e5u29dOrSlsZKK', '2GMz1bxkP3jLUXAVn2L4Kg']]]","[[[24, 23, 19, 18, 18, 17, 17, 17, 16, 0]]]","[[['0dOA9ZYjZFuyZVjhmMzJfD', '64q9otWlqvvGnrmNYMGEWC', '7eeCD7b9AgcAU1glEGdCxr']]]"
839,https://www.muffatwerk.de/de/events/view/6915/jordan-rakei,2024-09-08 00:00:00,Jordan Rakei,Muffathalle,konzert,['jordan rakei'],[[['24icoQNJSEWNu3XvqKBR68']]],[[[56]]],"[[['64I9byMYBlS1ARsC3vtpgW', '7aLYQgzGLy8duSSdTJa1ik', '0aSPcMOs0ahKPGxsqMqbh2', '5rcGQIrv6eUIyCBfWga363', '6OnEsU4yuFEIuuK1pzZ0z5', '1oQbDSv5togt85za7IsTsc', '2XpS7flEqrInUhnjPO8n93', '5qLrPj4UgxfXDQ8eMCrepp', '6NK6YFjxpLMpaqt6YKfIDA', '70PeKtah1BFmybQYJIhaRE']]]","[[[65, 57, 59, 57, 54, 55, 27, 50, 52, 51]]]","[[['64I9byMYBlS1ARsC3vtpgW', '6NK6YFjxpLMpaqt6YKfIDA', '7aLYQgzGLy8duSSdTJa1ik']]]"
840,https://www.muffatwerk.de/de/events/view/6680/ivo-martin,2024-09-09 00:00:00,Ivo Martin,Technikum (verlegt aus Ampere),konzert,['ivo martin'],[[['4bId6MR2fskVKIeCSEmktg']]],[[[55]]],"[[['2xhQ4DChsw78ca8fUUZo5b', '2jgzrWppDxkH98ibOAVuMG', '4xsNzTOHuiE211c4pSVoVw', '24ejkPQlpnaOtRGnA8w2bF', '3schMM0sJTT4icXuZLxCrT', '14rzIVf87bQAdyHDYeu1Rp', '5cKOROElbZXQHLdKKlJ7eJ', '3fuzga2TVap2WySlIEfqc3', '5YBRfEKTiKxNIMdVVSUtd4', '0B0fBXG9wSHlyhtU5sj3RW']]]","[[[59, 57, 62, 61, 59, 60, 58, 50, 48, 42]]]","[[['0B0fBXG9wSHlyhtU5sj3RW', '3schMM0sJTT4icXuZLxCrT', '4xsNzTOHuiE211c4pSVoVw']]]"
841,https://www.muffatwerk.de/de/events/view/6860/mathea,2024-09-09 00:00:00,Mathea,Muffathalle,konzert,['mathea'],[[['3r5Kc95Oz8lDc8BL9ChO7n']]],[[[47]]],"[[['2LDXOPzRcuEYxaSkjZCCUh', '3Esn90IzUHMGq1xLaiCsex', '6XjhXMNeN3VQTOstpxHy5L', '4EHZXphfghNeoh6o4o1cd7', '6YZMvvQUqeDDoBks0att2p', '4Mt4iUN5Rc5sCQulh4geGa', '0dwALukKrO3rNXGOiLMY04', '4u8DcQ6Su4mki5JBMVpOmm', '7vqihGVf7xIvahyJSazQ0q', '4D6TNYtIotMFwfd9b6Hs7n']]]","[[[58, 53, 50, 51, 43, 41, 40, 39, 39, 30]]]","[[['2LDXOPzRcuEYxaSkjZCCUh', '4EHZXphfghNeoh6o4o1cd7', '4u8DcQ6Su4mki5JBMVpOmm']]]"
842,https://www.muffatwerk.de/de/events/view/6817/faber,2024-09-10 00:00:00,Faber,Tonhalle,konzert,['faber'],[[['0k70gnDBLPirCltbTzoxuM']]],[[[51]]],"[[['44uSEFOc1en3qKCL7k2Lfq', '5Qt9nyg9UFZJ5iqFsKA4pM', '5oaBqJf0ZsJWaPuhUOOBCZ', '2P9OKiFiDDwHcMkdGVuqcd', '0JWWONWErvsmlAQUgAhEjO', '467vE4WuhrF8apzTQsQqxs', '36q2Psb6FstRqr5EUscdcp', '0znvfexRdvqw1L4HeC4rUN', '1K29Kg3INLK0gX2nDzblw5', '2W7nMKupO83NI2eih8l1qv']]]","[[[55, 54, 53, 52, 50, 49, 48, 46, 45, 45]]]","[[['0JWWONWErvsmlAQUgAhEjO', '44uSEFOc1en3qKCL7k2Lfq', '5oaBqJf0ZsJWaPuhUOOBCZ']]]"
843,https://www.feierwerk.de/konzert-kulturprogramm/detail/2024-09-10-ef-leech,2024-09-10 20:30:00,EF + LEECH,feierwerk Kranhalle,konzert,"['EF', 'LEECH']","[[['6U1dBXJhC8gXFjamvFTmHg'], ['6k6TACjqTLnnTRA1zQuO2d']]]","[[[67], [24]]]","[[['630sXRhIcfwr2e4RdNtjKN', '43ay9lQZ5rfNcOOHhRF2cM', '2cKovq3l6OJjhVVDbVKOsr', '5rWIO1uP0GwAoU45RTBJ2F', '6YXG34IWbilypPwjBTOrUC', '3SMxd9vNy41n9Xk4UFw36S', '20QRXRV7wUFOIgBQCGnUy3', '7goE6wDBvkZoeWrFm0EdCg', '5EBd8sbeMSyIotWaMnR7s4', '6NqfslFfCCOyBQ0Xw8kN8E'], ['630sXRhIcfwr2e4RdNtjKN', '43ay9lQZ5rfNcOOHhRF2cM', '2cKovq3l6OJjhVVDbVKOsr', '5rWIO1uP0GwAoU45RTBJ2F', '6YXG34IWbilypPwjBTOrUC', '3SMxd9vNy41n9Xk4UFw36S', '20QRXRV7wUFOIgBQCGnUy3', '7goE6wDBvkZoeWrFm0EdCg', '5EBd8sbeMSyIotWaMnR7s4', '6NqfslFfCCOyBQ0Xw8kN8E']]]","[[[77, 63, 74, 67, 67, 62, 62, 59, 61, 59], [77, 63, 74, 67, 67, 62, 62, 59, 61, 59]]]","[[['5rWIO1uP0GwAoU45RTBJ2F', '630sXRhIcfwr2e4RdNtjKN', '6NqfslFfCCOyBQ0Xw8kN8E']]]"
